query_sample_id,query_cve,retrieved_cve,count,ranks,is_query_cve
1,CVE-2019-13638,CVE-2018-1100,1,1,False
1,CVE-2019-13638,UNKNOWN,5,2;3;4;5;6,False
2,CVE-2019-13638,CVE-2018-1100,1,1,False
2,CVE-2019-13638,UNKNOWN,5,2;3;4;5;6,False
3,CVE-2015-8617,UNKNOWN,6,1;2;3;4;5;6,False
4,CVE-2015-8617,UNKNOWN,6,1;2;3;4;5;6,False
5,CVE-2017-15108,UNKNOWN,6,1;2;3;4;5;6,False
6,CVE-2017-15108,UNKNOWN,6,1;2;3;4;5;6,False
7,CVE-2015-8617,CVE-2017-9181,6,1;2;3;4;5;6,False
8,CVE-2015-8617,UNKNOWN,6,1;2;3;4;5;6,False
9,CVE-2017-12588,CVE-2017-9181,5,1;2;3;4;5,False
9,CVE-2017-12588,UNKNOWN,1,6,False
10,CVE-2017-12588,CVE-2017-9181,5,1;2;3;4;5,False
10,CVE-2017-12588,UNKNOWN,1,6,False
11,CVE-2018-6791,CVE-2018-1100,6,1;2;3;4;5;6,False
12,CVE-2018-6791,CVE-2018-1100,6,1;2;3;4;5;6,False
13,CVE-2017-15924,CVE-2018-1100,4,1;2;5;6,False
13,CVE-2017-15924,UNKNOWN,2,3;4,False
14,CVE-2017-15924,UNKNOWN,6,1;2;3;4;5;6,False
15,CVE-2019-12973,CVE-2017-16663,6,1;2;3;4;5;6,False
16,CVE-2019-12973,UNKNOWN,6,1;2;3;4;5;6,False
17,CVE-2019-16718,CVE-2020-17367;CVE-2020-17368,4,1;2;3;4,False
17,CVE-2019-16718,UNKNOWN,2,5;6,False
18,CVE-2019-16718,CVE-2017-9181,3,4;5;6,False
18,CVE-2019-16718,CVE-2018-1100,2,1;2,False
18,CVE-2019-16718,UNKNOWN,1,3,False
19,CVE-2018-16863,UNKNOWN,6,1;2;3;4;5;6,False
20,CVE-2018-16863,CVE-2017-16663,6,1;2;3;4;5;6,False
