query_sample_id,query_index,query_label,query_project,query_cve,retrieved_total,same_cve_count,same_cve_rate,unknown_count,known_cve_count,retrieved_cve_counts_json,retrieved_cve_rank_sequence
1,0,Vulnerable,patch__CVE-2019-13638,CVE-2019-13638,6,0,0.000000,5,1,"{""CVE-2018-1100"": 1, ""UNKNOWN"": 5}",CVE-2018-1100;UNKNOWN;UNKNOWN;UNKNOWN;UNKNOWN;UNKNOWN
2,1,Safe,patch__CVE-2019-13638,CVE-2019-13638,6,0,0.000000,5,1,"{""CVE-2018-1100"": 1, ""UNKNOWN"": 5}",CVE-2018-1100;UNKNOWN;UNKNOWN;UNKNOWN;UNKNOWN;UNKNOWN
3,2,Vulnerable,php-src__CVE-2015-8617,CVE-2015-8617,6,0,0.000000,6,0,"{""UNKNOWN"": 6}",UNKNOWN;UNKNOWN;UNKNOWN;UNKNOWN;UNKNOWN;UNKNOWN
4,3,Safe,php-src__CVE-2015-8617,CVE-2015-8617,6,0,0.000000,6,0,"{""UNKNOWN"": 6}",UNKNOWN;UNKNOWN;UNKNOWN;UNKNOWN;UNKNOWN;UNKNOWN
5,4,Vulnerable,spice-vdagent__CVE-2017-15108,CVE-2017-15108,6,0,0.000000,6,0,"{""UNKNOWN"": 6}",UNKNOWN;UNKNOWN;UNKNOWN;UNKNOWN;UNKNOWN;UNKNOWN
6,5,Safe,spice-vdagent__CVE-2017-15108,CVE-2017-15108,6,0,0.000000,6,0,"{""UNKNOWN"": 6}",UNKNOWN;UNKNOWN;UNKNOWN;UNKNOWN;UNKNOWN;UNKNOWN
7,6,Vulnerable,php-src__CVE-2015-8617,CVE-2015-8617,6,0,0.000000,0,6,"{""CVE-2017-9181"": 6}",CVE-2017-9181;CVE-2017-9181;CVE-2017-9181;CVE-2017-9181;CVE-2017-9181;CVE-2017-9181
8,7,Safe,php-src__CVE-2015-8617,CVE-2015-8617,6,0,0.000000,6,0,"{""UNKNOWN"": 6}",UNKNOWN;UNKNOWN;UNKNOWN;UNKNOWN;UNKNOWN;UNKNOWN
9,8,Vulnerable,rsyslog__CVE-2017-12588,CVE-2017-12588,6,0,0.000000,1,5,"{""CVE-2017-9181"": 5, ""UNKNOWN"": 1}",CVE-2017-9181;CVE-2017-9181;CVE-2017-9181;CVE-2017-9181;CVE-2017-9181;UNKNOWN
10,9,Safe,rsyslog__CVE-2017-12588,CVE-2017-12588,6,0,0.000000,1,5,"{""CVE-2017-9181"": 5, ""UNKNOWN"": 1}",CVE-2017-9181;CVE-2017-9181;CVE-2017-9181;CVE-2017-9181;CVE-2017-9181;UNKNOWN
11,10,Vulnerable,plasma-workspace__CVE-2018-6791,CVE-2018-6791,6,0,0.000000,0,6,"{""CVE-2018-1100"": 6}",CVE-2018-1100;CVE-2018-1100;CVE-2018-1100;CVE-2018-1100;CVE-2018-1100;CVE-2018-1100
12,11,Safe,plasma-workspace__CVE-2018-6791,CVE-2018-6791,6,0,0.000000,0,6,"{""CVE-2018-1100"": 6}",CVE-2018-1100;CVE-2018-1100;CVE-2018-1100;CVE-2018-1100;CVE-2018-1100;CVE-2018-1100
13,12,Vulnerable,shadowsocks-libev__CVE-2017-15924,CVE-2017-15924,6,0,0.000000,2,4,"{""CVE-2018-1100"": 4, ""UNKNOWN"": 2}",CVE-2018-1100;CVE-2018-1100;UNKNOWN;UNKNOWN;CVE-2018-1100;CVE-2018-1100
14,13,Safe,shadowsocks-libev__CVE-2017-15924,CVE-2017-15924,6,0,0.000000,6,0,"{""UNKNOWN"": 6}",UNKNOWN;UNKNOWN;UNKNOWN;UNKNOWN;UNKNOWN;UNKNOWN
15,14,Vulnerable,openjpeg__CVE-2019-12973,CVE-2019-12973,6,0,0.000000,0,6,"{""CVE-2017-16663"": 6}",CVE-2017-16663;CVE-2017-16663;CVE-2017-16663;CVE-2017-16663;CVE-2017-16663;CVE-2017-16663
16,15,Safe,openjpeg__CVE-2019-12973,CVE-2019-12973,6,0,0.000000,6,0,"{""UNKNOWN"": 6}",UNKNOWN;UNKNOWN;UNKNOWN;UNKNOWN;UNKNOWN;UNKNOWN
17,16,Vulnerable,radare2__CVE-2019-16718,CVE-2019-16718,6,0,0.000000,2,4,"{""CVE-2020-17367;CVE-2020-17368"": 4, ""UNKNOWN"": 2}",CVE-2020-17367;CVE-2020-17368;CVE-2020-17367;CVE-2020-17368;CVE-2020-17367;CVE-2020-17368;CVE-2020-17367;CVE-2020-17368;UNKNOWN;UNKNOWN
18,17,Safe,radare2__CVE-2019-16718,CVE-2019-16718,6,0,0.000000,1,5,"{""CVE-2017-9181"": 3, ""CVE-2018-1100"": 2, ""UNKNOWN"": 1}",CVE-2018-1100;CVE-2018-1100;UNKNOWN;CVE-2017-9181;CVE-2017-9181;CVE-2017-9181
19,18,Vulnerable,ghostpdl__CVE-2018-16863,CVE-2018-16863,6,0,0.000000,6,0,"{""UNKNOWN"": 6}",UNKNOWN;UNKNOWN;UNKNOWN;UNKNOWN;UNKNOWN;UNKNOWN
20,19,Safe,ghostpdl__CVE-2018-16863,CVE-2018-16863,6,0,0.000000,0,6,"{""CVE-2017-16663"": 6}",CVE-2017-16663;CVE-2017-16663;CVE-2017-16663;CVE-2017-16663;CVE-2017-16663;CVE-2017-16663
