query_sample_id,kind,rank,source_index,sample_id,project,source_category,reference_family,label,faiss_l2_distance,cosine_similarity,distance_percentile_in_db,x,y
1,query,,,1,patch__CVE-2019-13638,Query CVE,Query CVE,Vulnerable,0.000000,1.000000,,-28.937357,-107.463226
1,retrieved,1,8415,trace-csv::8416,urjtag-0.8,Open Source Project,CVE/Open Source Project,Vulnerable,5.585266,0.993924,0.000115,3.682955,-76.200760
1,retrieved,2,8463,trace-csv::8464,urjtag-0.8,Open Source Project,CVE/Open Source Project,Vulnerable,5.600891,0.993906,0.000115,25.244268,-59.785980
1,retrieved,3,8471,trace-csv::8472,urjtag-0.8,Open Source Project,CVE/Open Source Project,Vulnerable,5.602112,0.993901,0.000230,-44.106503,-189.982605
1,retrieved,4,8462,trace-csv::8463,urjtag-0.8,Open Source Project,CVE/Open Source Project,Vulnerable,5.602295,0.993901,0.000459,-93.334808,-193.879211
1,retrieved,5,8421,trace-csv::8422,urjtag-0.8,Open Source Project,CVE/Open Source Project,Vulnerable,5.605591,0.993897,0.000574,104.406204,120.489815
1,retrieved,6,8423,trace-csv::8424,urjtag-0.8,Open Source Project,CVE/Open Source Project,Vulnerable,5.609253,0.993893,0.000574,-68.158401,-172.546890
1,background,,8414,trace-csv::8415,urjtag-0.8,Open Source Project,CVE/Open Source Project,Vulnerable,5.609599,0.993893,,-95.524483,-162.646820
1,background,,8469,trace-csv::8470,urjtag-0.8,Open Source Project,CVE/Open Source Project,Vulnerable,5.617164,0.993884,,103.675148,89.277855
1,background,,8559,trace-csv::8560,urjtag-0.8,Open Source Project,CVE/Open Source Project,Vulnerable,5.624029,0.993881,,1.591689,-43.370625
1,background,,8607,trace-csv::8608,urjtag-0.8,Open Source Project,CVE/Open Source Project,Vulnerable,5.636672,0.993866,,30.044056,-32.343296
1,background,,8606,trace-csv::8607,urjtag-0.8,Open Source Project,CVE/Open Source Project,Vulnerable,5.639472,0.993861,,-74.798676,-244.409317
1,background,,8615,trace-csv::8616,urjtag-0.8,Open Source Project,CVE/Open Source Project,Vulnerable,5.639473,0.993861,,-97.830070,-226.555588
1,background,,8558,trace-csv::8559,urjtag-0.8,Open Source Project,CVE/Open Source Project,Vulnerable,5.643573,0.993856,,-45.351177,-226.490189
1,background,,8567,trace-csv::8568,urjtag-0.8,Open Source Project,CVE/Open Source Project,Vulnerable,5.643577,0.993856,,-69.378181,-210.452209
1,background,,8565,trace-csv::8566,urjtag-0.8,Open Source Project,CVE/Open Source Project,Vulnerable,5.651929,0.993846,,126.740486,105.154457
1,background,,8613,trace-csv::8614,urjtag-0.8,Open Source Project,CVE/Open Source Project,Vulnerable,5.662280,0.993835,,154.129471,104.126549
1,background,,8439,trace-csv::8440,urjtag-0.8,Open Source Project,CVE/Open Source Project,Vulnerable,5.671207,0.993828,,58.876907,211.079529
1,background,,8446,trace-csv::8447,urjtag-0.8,Open Source Project,CVE/Open Source Project,Vulnerable,5.671207,0.993828,,58.876907,211.079529
1,background,,8487,trace-csv::8488,urjtag-0.8,Open Source Project,CVE/Open Source Project,Vulnerable,5.679976,0.993819,,40.761646,181.218826
1,background,,8494,trace-csv::8495,urjtag-0.8,Open Source Project,CVE/Open Source Project,Vulnerable,5.679976,0.993819,,40.761646,181.218826
