query_sample_id,query_index,query_label,query_project,query_cve,query_code_chars,query_code_lines,query_codebert_tokens,query_truncated_for_embedding,embedding_token_window,rank,faiss_l2_distance,retrieved_index,retrieved_sample_id,retrieved_label,label_matches_query,retrieved_project,retrieved_cve,retrieved_cve_normalized,same_cve,retrieved_dataset_type,retrieved_source,retrieved_code_chars,retrieved_code_lines,retrieved_codebert_tokens,lexical_jaccard,query_snippet,retrieved_snippet
1,0,Vulnerable,patch__CVE-2019-13638,CVE-2019-13638,665,1,253,False,tail_512,1,5.49578857421875,8699,trace-csv::8700,Vulnerable,True,zsh-5.4.2,CVE-2018-1100,CVE-2018-1100,False,test,dataset/signature_db_Vul_data_with_cve.csv,223,1,106,0.034482758620689655,"outfile = xstrdup (optarg);outname = outfile;outfd = make_tempfile (&TMPOUTNAME, 'o', outname, O_WRONLY | binary_transput, instat.st_mode & S_IRWXUGO);int make_tempfile (char const **name, char letter, char const *rea...","de = readdir(dir); return metafy(de->d_name, -1, META_STATIC); buf = hrealloc(buf, len, len + meta + 1); return p; return buf; while ((fn = zreaddir(lock, 1)) && !errflag) { sprintf(buf, ""%s/%s?%s"", *s, fn, u);"
1,0,Vulnerable,patch__CVE-2019-13638,CVE-2019-13638,665,1,253,False,tail_512,2,5.5399169921875,8414,trace-csv::8415,Vulnerable,True,urjtag-0.8,,UNKNOWN,False,test,dataset/signature_db_Vul_data_with_cve.csv,592,1,262,0.05063291139240506,"outfile = xstrdup (optarg);outname = outfile;outfd = make_tempfile (&TMPOUTNAME, 'o', outname, O_WRONLY | binary_transput, instat.st_mode & S_IRWXUGO);int make_tempfile (char const **name, char letter, char const *rea...","while(fgets(line, 1023, stdin)); jtag_readline_multiple_commands_support( line ); nextcmd = strstr(nextcmd, ""::""); /* :: to not confuse ms-dos users ;-) */ r = jtag_parse_line( line ); t = get_token( line ); char *t =..."
1,0,Vulnerable,patch__CVE-2019-13638,CVE-2019-13638,665,1,253,False,tail_512,3,5.5399169921875,8423,trace-csv::8424,Vulnerable,True,urjtag-0.8,,UNKNOWN,False,test,dataset/signature_db_Vul_data_with_cve.csv,592,1,262,0.05063291139240506,"outfile = xstrdup (optarg);outname = outfile;outfd = make_tempfile (&TMPOUTNAME, 'o', outname, O_WRONLY | binary_transput, instat.st_mode & S_IRWXUGO);int make_tempfile (char const **name, char letter, char const *rea...","while(fgets(line, 1023, stdin)); jtag_readline_multiple_commands_support( line ); nextcmd = strstr(nextcmd, ""::""); /* :: to not confuse ms-dos users ;-) */ r = jtag_parse_line( line ); t = get_token( line ); char *t =..."
1,0,Vulnerable,patch__CVE-2019-13638,CVE-2019-13638,665,1,253,False,tail_512,4,5.54931640625,8558,trace-csv::8559,Vulnerable,True,urjtag-0.8,,UNKNOWN,False,test,dataset/signature_db_Vul_data_with_cve.csv,592,1,262,0.05063291139240506,"outfile = xstrdup (optarg);outname = outfile;outfd = make_tempfile (&TMPOUTNAME, 'o', outname, O_WRONLY | binary_transput, instat.st_mode & S_IRWXUGO);int make_tempfile (char const **name, char letter, char const *rea...","while(fgets(line, 1023, stdin)); jtag_readline_multiple_commands_support( line ); nextcmd = strstr(nextcmd, ""::""); /* :: to not confuse ms-dos users ;-) */ r = jtag_parse_line( line ); t = get_token( line ); char *t =..."
1,0,Vulnerable,patch__CVE-2019-13638,CVE-2019-13638,665,1,253,False,tail_512,5,5.54931640625,8567,trace-csv::8568,Vulnerable,True,urjtag-0.8,,UNKNOWN,False,test,dataset/signature_db_Vul_data_with_cve.csv,592,1,262,0.05063291139240506,"outfile = xstrdup (optarg);outname = outfile;outfd = make_tempfile (&TMPOUTNAME, 'o', outname, O_WRONLY | binary_transput, instat.st_mode & S_IRWXUGO);int make_tempfile (char const **name, char letter, char const *rea...","while(fgets(line, 1023, stdin)); jtag_readline_multiple_commands_support( line ); nextcmd = strstr(nextcmd, ""::""); /* :: to not confuse ms-dos users ;-) */ r = jtag_parse_line( line ); t = get_token( line ); char *t =..."
1,0,Vulnerable,patch__CVE-2019-13638,CVE-2019-13638,665,1,253,False,tail_512,6,5.553466796875,8462,trace-csv::8463,Vulnerable,True,urjtag-0.8,,UNKNOWN,False,test,dataset/signature_db_Vul_data_with_cve.csv,592,1,262,0.05063291139240506,"outfile = xstrdup (optarg);outname = outfile;outfd = make_tempfile (&TMPOUTNAME, 'o', outname, O_WRONLY | binary_transput, instat.st_mode & S_IRWXUGO);int make_tempfile (char const **name, char letter, char const *rea...","while(fgets(line, 1023, stdin)); jtag_readline_multiple_commands_support( line ); nextcmd = strstr(nextcmd, ""::""); /* :: to not confuse ms-dos users ;-) */ r = jtag_parse_line( line ); t = get_token( line ); char *t =..."
2,1,Safe,patch__CVE-2019-13638,CVE-2019-13638,604,1,223,False,tail_512,1,5.4652099609375,8699,trace-csv::8700,Vulnerable,False,zsh-5.4.2,CVE-2018-1100,CVE-2018-1100,False,test,dataset/signature_db_Vul_data_with_cve.csv,223,1,106,0.01818181818181818,"outfile = xstrdup (optarg);outname = outfile;outfd = make_tempfile (&TMPOUTNAME, 'o', outname, O_WRONLY | binary_transput, instat.st_mode & S_IRWXUGO);int make_tempfile (char const **name, char letter, char const *rea...","de = readdir(dir); return metafy(de->d_name, -1, META_STATIC); buf = hrealloc(buf, len, len + meta + 1); return p; return buf; while ((fn = zreaddir(lock, 1)) && !errflag) { sprintf(buf, ""%s/%s?%s"", *s, fn, u);"
2,1,Safe,patch__CVE-2019-13638,CVE-2019-13638,604,1,223,False,tail_512,2,5.69500732421875,8414,trace-csv::8415,Vulnerable,False,urjtag-0.8,,UNKNOWN,False,test,dataset/signature_db_Vul_data_with_cve.csv,592,1,262,0.039473684210526314,"outfile = xstrdup (optarg);outname = outfile;outfd = make_tempfile (&TMPOUTNAME, 'o', outname, O_WRONLY | binary_transput, instat.st_mode & S_IRWXUGO);int make_tempfile (char const **name, char letter, char const *rea...","while(fgets(line, 1023, stdin)); jtag_readline_multiple_commands_support( line ); nextcmd = strstr(nextcmd, ""::""); /* :: to not confuse ms-dos users ;-) */ r = jtag_parse_line( line ); t = get_token( line ); char *t =..."
2,1,Safe,patch__CVE-2019-13638,CVE-2019-13638,604,1,223,False,tail_512,3,5.69500732421875,8423,trace-csv::8424,Vulnerable,False,urjtag-0.8,,UNKNOWN,False,test,dataset/signature_db_Vul_data_with_cve.csv,592,1,262,0.039473684210526314,"outfile = xstrdup (optarg);outname = outfile;outfd = make_tempfile (&TMPOUTNAME, 'o', outname, O_WRONLY | binary_transput, instat.st_mode & S_IRWXUGO);int make_tempfile (char const **name, char letter, char const *rea...","while(fgets(line, 1023, stdin)); jtag_readline_multiple_commands_support( line ); nextcmd = strstr(nextcmd, ""::""); /* :: to not confuse ms-dos users ;-) */ r = jtag_parse_line( line ); t = get_token( line ); char *t =..."
2,1,Safe,patch__CVE-2019-13638,CVE-2019-13638,604,1,223,False,tail_512,4,5.7117919921875,8558,trace-csv::8559,Vulnerable,False,urjtag-0.8,,UNKNOWN,False,test,dataset/signature_db_Vul_data_with_cve.csv,592,1,262,0.039473684210526314,"outfile = xstrdup (optarg);outname = outfile;outfd = make_tempfile (&TMPOUTNAME, 'o', outname, O_WRONLY | binary_transput, instat.st_mode & S_IRWXUGO);int make_tempfile (char const **name, char letter, char const *rea...","while(fgets(line, 1023, stdin)); jtag_readline_multiple_commands_support( line ); nextcmd = strstr(nextcmd, ""::""); /* :: to not confuse ms-dos users ;-) */ r = jtag_parse_line( line ); t = get_token( line ); char *t =..."
