kind,sample_id,project,cwe_or_hint,label,source_index,x,y
background_juliet,trace-csv::63,CWE134_02-CWE134_Uncontrolled_Format_String__char_console_printf,trace-csv::63,Vulnerable,62,2.553749,-6.147316
background_juliet,trace-csv::169,CWE134_04-CWE134_Uncontrolled_Format_String__char_console_snprintf,trace-csv::169,Vulnerable,168,2.127967,-3.843538
background_juliet,trace-csv::196,CWE134_04-CWE134_Uncontrolled_Format_String__char_listen_socket_fprintf,trace-csv::196,Vulnerable,195,-13.341787,11.237052
background_juliet,trace-csv::264,CWE134_06-CWE134_Uncontrolled_Format_String__char_console_printf,trace-csv::264,Vulnerable,263,2.553746,-6.147316
background_juliet,trace-csv::298,CWE134_06-CWE134_Uncontrolled_Format_String__char_listen_socket_snprintf,trace-csv::298,Vulnerable,297,-13.636643,10.796700
background_juliet,trace-csv::319,CWE134_07-CWE134_Uncontrolled_Format_String__char_console_snprintf,trace-csv::319,Vulnerable,318,2.127990,-3.843254
background_juliet,trace-csv::361,CWE134_08-CWE134_Uncontrolled_Format_String__char_console_fprintf,trace-csv::361,Vulnerable,360,-0.560440,-2.277162
background_juliet,trace-csv::372,CWE134_08-CWE134_Uncontrolled_Format_String__char_console_snprintf,trace-csv::372,Vulnerable,371,-0.664112,-1.877398
background_juliet,trace-csv::500,CWE134_10-CWE134_Uncontrolled_Format_String__char_listen_socket_vprintf,trace-csv::500,Vulnerable,499,-13.144625,9.852827
background_juliet,trace-csv::540,CWE134_11-CWE134_Uncontrolled_Format_String__char_environment_vprintf,trace-csv::540,Vulnerable,539,-2.255091,-5.490169
background_juliet,trace-csv::576,CWE134_12-CWE134_Uncontrolled_Format_String__char_console_vfprintf,trace-csv::576,Vulnerable,575,0.989668,-2.599303
background_juliet,trace-csv::649,CWE134_13-CWE134_Uncontrolled_Format_String__char_listen_socket_vfprintf,trace-csv::649,Vulnerable,648,-13.396784,9.892576
background_juliet,trace-csv::677,CWE134_14-CWE134_Uncontrolled_Format_String__char_console_vfprintf,trace-csv::677,Vulnerable,676,1.680552,-1.512313
background_juliet,trace-csv::685,CWE134_14-CWE134_Uncontrolled_Format_String__char_console_vprintf,trace-csv::685,Vulnerable,684,-0.825927,-1.059803
background_juliet,trace-csv::725,CWE134_15-CWE134_Uncontrolled_Format_String__char_console_vfprintf,trace-csv::725,Vulnerable,724,1.255644,-2.542053
background_juliet,trace-csv::732,CWE134_15-CWE134_Uncontrolled_Format_String__char_console_vprintf,trace-csv::732,Vulnerable,731,1.351837,-3.097071
background_juliet,trace-csv::752,CWE134_16-CWE134_Uncontrolled_Format_String__char_connect_socket_printf,trace-csv::752,Vulnerable,751,-12.566299,11.233032
background_juliet,trace-csv::756,CWE134_16-CWE134_Uncontrolled_Format_String__char_console_fprintf,trace-csv::756,Vulnerable,755,7.694717,-4.392289
background_juliet,trace-csv::774,CWE134_16-CWE134_Uncontrolled_Format_String__char_console_vfprintf,trace-csv::774,Vulnerable,773,6.063078,-4.395973
background_juliet,trace-csv::775,CWE134_16-CWE134_Uncontrolled_Format_String__char_console_vfprintf,trace-csv::775,Vulnerable,774,0.989669,-2.599308
background_juliet,trace-csv::779,CWE134_16-CWE134_Uncontrolled_Format_String__char_console_vfprintf,trace-csv::779,Vulnerable,778,-0.866919,-0.734981
background_juliet,trace-csv::795,CWE134_16-CWE134_Uncontrolled_Format_String__char_file_vprintf,trace-csv::795,Vulnerable,794,6.269916,-4.573639
background_juliet,trace-csv::821,CWE134_17-CWE134_Uncontrolled_Format_String__char_console_snprintf,trace-csv::821,Vulnerable,820,3.179931,-2.204159
background_juliet,trace-csv::828,CWE134_17-CWE134_Uncontrolled_Format_String__char_console_vfprintf,trace-csv::828,Vulnerable,827,-0.865738,-0.734106
background_juliet,trace-csv::833,CWE134_17-CWE134_Uncontrolled_Format_String__char_console_vprintf,trace-csv::833,Vulnerable,832,1.889348,-1.692491
background_juliet,trace-csv::912,CWE134_21-CWE134_Uncontrolled_Format_String__char_console_printf,trace-csv::912,Vulnerable,911,6.972385,-3.878381
background_juliet,trace-csv::979,CWE134_22-CWE134_Uncontrolled_Format_String__char_console_vfprintf,trace-csv::979,Vulnerable,978,-3.497258,-0.291674
