file_name,unique_id,target,vulnerable_line_numbers,project,cve,source_signature_path,commit_hash,dataset_type,processed_func
1,1,1,1,patch__CVE-2019-13638,CVE-2019-13638,,,test,"outfile = xstrdup (optarg);
outname = outfile;
outfd = make_tempfile (&TMPOUTNAME, 'o', outname, O_WRONLY | binary_transput, instat.st_mode & S_IRWXUGO);
int make_tempfile (char const **name, char letter, char const *real_name, int flags, mode_t mode)
dirname = dir_name (real_name);
sprintf (template, '%s/%s.%cXXXXXX', dirname, basename, letter);
*name = template;
do_ed_script (inname, TMPOUTNAME, &TMPOUTNAME_needs_removal, outstate.ofp);
void do_ed_script (char const *inname, char const *outname, bool *outname_needs_removal, FILE *ofp)
sprintf (buf, '%s %s%s', editor_program, verbosity == VERBOSE ? '' : '- ', outname);
execl ('/bin/sh', 'sh', '-c', buf, (char *) 0);
"
2,2,0,,patch__CVE-2019-13638,CVE-2019-13638,,,test,"outfile = xstrdup (optarg);
outname = outfile;
outfd = make_tempfile (&TMPOUTNAME, 'o', outname, O_WRONLY | binary_transput, instat.st_mode & S_IRWXUGO);
int make_tempfile (char const **name, char letter, char const *real_name, int flags, mode_t mode)
dirname = dir_name (real_name);
sprintf (template, '%s/%s.%cXXXXXX', dirname, basename, letter);
*name = template;
do_ed_script (inname, TMPOUTNAME, &TMPOUTNAME_needs_removal, outstate.ofp);
void do_ed_script (char const *inname, char const *outname, bool *outname_needs_removal, FILE *ofp)
execlp (editor_program, editor_program, '-', outname, (char  *) NULL);
"
3,3,1,1,php-src__CVE-2015-8617,CVE-2015-8617,,,test,"
zend_throw_or_error(fetch_type, NULL, ""Class '%s' not found"", ZSTR_VAL(class_name));
static void zend_throw_or_error(int fetch_type, zend_class_entry *exception_ce, const char *format, ...)
zend_vspprintf(&message, 0, format, va);
zend_throw_error(exception_ce, message);
ZEND_API ZEND_COLD void zend_throw_error(zend_class_entry *exception_ce, const char *format, ...)
zend_vspprintf(&message, 0, format, va);
"
4,4,0,,php-src__CVE-2015-8617,CVE-2015-8617,,,test,"
zend_throw_or_error(fetch_type, NULL, ""Class '%s' not found"", ZSTR_VAL(class_name));
static void zend_throw_or_error(int fetch_type, zend_class_entry *exception_ce, const char *format, ...)
zend_vspprintf(&message, 0, format, va);
zend_throw_error(exception_ce, ""%s"", message);
ZEND_API ZEND_COLD void zend_throw_error(zend_class_entry *exception_ce, const char *format, ...)
zend_vspprintf(&message, 0, format, va);
"
5,5,1,1,spice-vdagent__CVE-2017-15108,CVE-2017-15108,,,test,"
udscs_do_read(&conn);
static void udscs_do_read(struct udscs_connection **conp)
udscs_read_complete(connp);
conn->read_callback(connp, &conn->header, conn->data.buf);
static void daemon_read_complete(struct udscs_connection **connp, struct udscs_message_header *header, uint8_t *data)
VDAgent *agent = udscs_get_user_data(*connp);
void *udscs_get_user_data(struct udscs_connection *conn)
return conn->user_data;
vdagent_file_xfers_data(agent->xfers, (VDAgentFileXferDataMessage *)data);
void vdagent_file_xfers_data(struct vdagent_file_xfers *xfers, VDAgentFileXferDataMessage *msg)
snprintf(buf, PATH_MAX, ""xdg-open '%s'&"", xfers->save_dir);
status = system(buf);
"
6,6,0,,spice-vdagent__CVE-2017-15108,CVE-2017-15108,,,test,"
udscs_do_read(&conn);
static void udscs_do_read(struct udscs_connection **conp)
udscs_read_complete(connp);
conn->read_callback(connp, &conn->header, conn->data.buf);
static void daemon_read_complete(struct udscs_connection **connp, struct udscs_message_header *header, uint8_t *data)
VDAgent *agent = udscs_get_user_data(*connp);
void *udscs_get_user_data(struct udscs_connection *conn)
return conn->user_data;
vdagent_file_xfers_data(agent->xfers, (VDAgentFileXferDataMessage *)data);
void vdagent_file_xfers_data(struct vdagent_file_xfers *xfers, VDAgentFileXferDataMessage *msg)
gchar *argv[] = { ""xdg-open"", xfers->save_dir, NULL };
if (!g_spawn_async(NULL, argv, NULL, G_SPAWN_SEARCH_PATH, NULL, NULL, NULL, &error))
"
7,7,1,1,php-src__CVE-2015-8617,CVE-2015-8617,,,test,"
size_t len = php_stream_read(s, buf, SAPI_POST_HANDLER_BUFSIZ);
smart_str_appendl(&post_data.str, buf, len);
if (SUCCESS != add_post_vars(arr, &post_data, 0 TSRMLS_CC)) {
static inline int add_post_vars(zval *arr, post_var_data_t *vars, zend_bool eof)
while (add_post_var(arr, vars, eof TSRMLS_CC)) {
static zend_bool add_post_var(zval *arr, post_var_data_t *var, zend_bool eof)
vsep = memchr(var->ptr, '&', var->end - var->ptr);
"
8,8,0,,php-src__CVE-2015-8617,CVE-2015-8617,,,test,"
size_t len = php_stream_read(s, buf, SAPI_POST_HANDLER_BUFSIZ);
smart_str_appendl(&post_data.str, buf, len);
if (SUCCESS != add_post_vars(arr, &post_data, 0 TSRMLS_CC)) {
static inline int add_post_vars(zval *arr, post_var_data_t *vars, zend_bool eof)
while (add_post_var(arr, vars, eof TSRMLS_CC)) {
static zend_bool add_post_var(zval *arr, post_var_data_t *var, zend_bool eof)
start = var->ptr + var->already_scanned;
vsep = memchr(start, '&', var->end - start);
"
9,9,1,1,rsyslog__CVE-2017-12588,CVE-2017-12588,,,test,"
CHKiRet(actionPrepare(pThis, pWti));
CHKiRet(pThis->pMod->mod.om.createWrkrInstance(&(pWti->actWrkrInfo[pThis->iActionNbr].actWrkrData), pThis->pModData));
CHKiRet(actionCallDoAction(pThis, actParams, pWti));
iRet = pThis->pMod->mod.om.doAction(param, pWti->actWrkrInfo[pThis->iActionNbr].actWrkrData);
static rsRetVal doAction(void * pMsgData, wrkrInstanceData_t __attribute__((unused)) *pWrkrData){
instanceData *pData = pWrkrData->pData;
iRet = writeZMQ(ppString[0], pData);
CHKiRet(initZMQ(pData));
if(-1 == zsocket_bind(pData->socket, (char*)pData->description)) {
"
10,10,0,,rsyslog__CVE-2017-12588,CVE-2017-12588,,,test,"
CHKiRet(actionPrepare(pThis, pWti));
CHKiRet(pThis->pMod->mod.om.createWrkrInstance(&(pWti->actWrkrInfo[pThis->iActionNbr].actWrkrData), pThis->pModData));
CHKiRet(actionCallDoAction(pThis, actParams, pWti));
iRet = pThis->pMod->mod.om.doAction(param, pWti->actWrkrInfo[pThis->iActionNbr].actWrkrData);
static rsRetVal doAction(void * pMsgData, wrkrInstanceData_t __attribute__((unused)) *pWrkrData){
instanceData *pData = pWrkrData->pData;
iRet = writeZMQ(ppString[0], pData);
CHKiRet(initZMQ(pData));
if(-1 == zsocket_bind(pData->socket, ""%s"", (char*)pData->description)) {
"
